"type","value","source","articlename"
"hash_md5","3be1c888015bf4f8d145efcd0f103d57","Threatview","Threatview"
"url","0121fd.buzz","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","bellessimo.click","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://api.ra-backup.com/analytics/submit.php","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://api.ra-backup.com/analytics/submit.php.http://api.ra-backup.com/analytics/submit.php.","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://api.ra-backup.com/analytics/submit.phphttp://api.ra-backup.com/analytics/submit.php","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://api.ra-backup.com/http://api.ra-backup.com/","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://shirideitch.com/http://shirideitch.com/","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","http://shirideitch.com/wp-content/uploads/2022/06/RedAlert.apkhttp://shirideitch.com/wp-content/uploads/2022/06/redalert.apk","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/analytics/submit.php./https://api.ra-backup.com/analytics/submit.php./","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/analytics/submit.php.https://api.ra-backup.com/analytics/submit.php.","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/analytics/submit.php/https://api.ra-backup.com/analytics/submit.php/","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/analytics/submit.phphttps://api.ra-backup.com/analytics/submit.php","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/anhttps://api.ra-backup.com/an","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/favicon.icohttps://api.ra-backup.com/favicon.ico","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://api.ra-backup.com/https://api.ra-backup.com/","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://bit.ly/4aHqZuWhttps://bit.ly/4ahqzuw","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://bit.ly/4sgUvgXhttps://bit.ly/4sguvgx","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://shirideitch.com/https://shirideitch.com/","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","https://www.shirideitch.com/wp-content/uploads/2022/06/RedAlert.apkhttps://www.shirideitch.com/wp-content/uploads/2022/06/redalert.apk","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","mailingmastering.xyz","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
"url","metropolitan.londonal.shop","Google TI","Suspected Iranian Threat Group Targets Israeli Citizens with PANICPOACH Android Malware.csv"
